name,num_atoms,pred_energy
Darifenacin HBr,33,1.1758443117141724
2-Thiouracil,8,0.6172641515731812
Febuxostat (Uloric),22,0.6076401472091675
Dapagliflozin,28,0.6153659820556641
Pimobendan (Vetmedin),25,0.5883392095565796
Amphotericin B,67,0.612093985080719
Azelastine hydrochloride (Astelin),28,0.7250424027442932
"Clarithromycin (Biaxin, Klacid)",52,0.6005898714065552
Ampicillin sodium,26,0.6427359580993652
VX-809 (Lumacaftor),33,0.622618556022644
Pomalidomide,20,0.5926874876022339
Tazarotene (Avage),25,0.5966606140136719
Fasudil HCl (HA-1077),21,0.7214628458023071
Candesartan (Atacand),33,0.6021009683609009
Altrenogest,25,0.589125394821167
Apixaban,34,0.594563901424408
Reserpine,47,0.5987603068351746
Furosemide (Lasix),21,0.6582437753677368
Cefdinir (Omnicef),28,0.6145358681678772
Clotrimazole (Canesten),25,0.6091406345367432
Rizatriptan Benzoate (Maxalt),29,0.6000017523765564
Pyridostigmine Bromide (Mestinon),14,1.1384835243225098
"Methimazole (Tapazole, Northyx)",7,0.6099919080734253
Metolazone (Zaroxolyn),24,0.6509363055229187
Mifepristone (Mifeprex),34,0.5885254144668579
Riluzole (Rilutek),15,0.6355124711990356
Artemether,24,0.6085474491119385
Sulfameter (Bayrena),19,0.6373364925384521
Prilocaine,16,0.5870034694671631
Prednisone (Adasone),29,0.5996921062469482
Acetylcysteine,11,0.613764762878418
Ethinyl Estradiol,25,0.5899062156677246
Naproxen Sodium,18,0.6389309167861938
"Nitazoxanide (Alinia, Annita)",21,0.6220359206199646
Triamcinolone Acetonide,33,0.6009740829467773
"Orlistat (Alli, Xenical)",35,0.5959477424621582
Allopurinol (Zyloprim),10,0.5898921489715576
Allopurinol Sodium (Aloprim),11,0.6386770009994507
Zafirlukast (Accolate),41,0.6377246975898743
Ibuprofen (Advil),15,0.599959135055542
Albendazole (Albenza),18,0.6074612140655518
Chlorothiazide,17,0.6573989391326904
Ursodiol (Actigal Urso),33,0.6059443950653076
Nitrofurazone (Nitrofural),14,0.6195617914199829
Ketoprofen (Actron),19,0.59816575050354
Adenosine (Adenocard),19,0.5941247940063477
Artemisinin,23,0.6086545586585999
Artesunate,30,0.611286997795105
Zolmitriptan (Zomig),21,0.6005041599273682
"Telbivudine (Sebivo, Tyzeka)",17,0.5976361036300659
Monobenzone (Benoquin),15,0.5829523801803589
All-trans Retinoic Acid (Tretinoin),22,0.6009272336959839
"Phenylbutazone (Butazolidin, Butatron)",23,0.5862782001495361
Ezetimibe (Zetia),30,0.5878912210464478
Dofetilide (Tikosyn),29,0.646378755569458
Isradipine (Dynacirc),27,0.5979299545288086
Estrone,23,0.5856196284294128
Flucytosine (Ancobon),9,0.5950243473052979
Loteprednol etabonate,35,0.6305577754974365
Pregnenolone,26,0.5870596170425415
Aminophylline (Truphylline),30,0.5913546085357666
Amorolfine Hydrochloride,24,0.7177879810333252
Chloramphenicol (Chloromycetin),20,0.6750703454017639
Disulfiram (Antabuse),16,0.6484740972518921
Mesalamine (Lialda),11,0.603428840637207
Ipratropium bromide,25,1.196245551109314
Betamethasone Dipropionate (Diprolene),38,0.5992989540100098
Betapar (Meprednisone),30,0.5994113683700562
Betamethasone valerate (Betnovate),36,0.59856116771698
Praziquantel (Biltricide),23,0.5887934565544128
"Busulfan (Myleran, Busulfex)",14,0.6614125967025757
Gemcitabine (Gemzar),18,0.6150721311569214
Carbamazepine (Carbatrol),18,0.5949289798736572
Hydrocortisone (Cortisol),29,0.5996921062469482
Desonide,34,0.6016471982002258
Didanosine (Videx),17,0.592920184135437
Divalproex sodium,21,0.6383582353591919
Progesterone (Prometrium),26,0.5870596170425415
Lamivudine (Epivir),15,0.6098805665969849
Estradiol,23,0.5856196284294128
Deferasirox (Exjade),28,0.6021784543991089
Piroxicam (Feldene),23,0.6361628770828247
Glipizide (Glucotrol),31,0.6389057636260986
Glyburide (Glibenclamide),33,0.6434319615364075
"Adefovir Dipivoxil (Preveon, Hepsera)",34,0.6442004442214966
Zalcitabine,15,0.5940042734146118
"Azathioprine (Azasan, Imuran)",19,0.6170274615287781
"Indomethacin (Indocid, Indocin)",25,0.6146395802497864
Levonorgestrel (Levonelle),27,0.5901306867599487
Gemfibrozil (Lopid),18,0.601332426071167
Indapamide (Lozol),24,0.6516338586807251
Methylprednisolone,30,0.5998367071151733
Meloxicam (Mobic),23,0.6364666223526001
"Mesna (Uromitexan, Mesnex)",8,0.6830786466598511
Methocarbamol (Robaxin),17,0.6095296740531921
Telmisartan (Micardis),39,0.5979635715484619
Thiabendazole,14,0.5953243374824524
Guaifenesin (Guaiphenesin),14,0.5996527075767517
Nevirapine (Viramune),20,0.5863021016120911
Nimodipine (Nimotop),30,0.6111462116241455
Oxybutynin (Ditropan),26,0.5971661806106567
Pitavastatin calcium (Livalo),63,0.7388582825660706
Pyrazinamide (Pyrazinoic acid amide),9,0.593929648399353
Quetiapine fumarate (Seroquel),62,0.6060923337936401
Cefditoren pivoxil,42,0.6060208678245544
Sulfadiazine,17,0.6340296268463135
Chlorprothixene,21,0.6104748249053955
Oxytetracycline (Terramycin),35,0.5989485383033752
Thioguanine,11,0.6126930713653564
Thiotepa (Thioplex),11,0.6363544464111328
Ethionamide,11,0.6031344532966614
Trifluridine (Viroptic),20,0.6261841654777527
Azacitidine (Vidaza),17,0.5973166227340698
Vidarabine (Vira-A),19,0.5941247940063477
Teniposide (Vumon),47,0.6040663719177246
Rifaximin (Xifaxan),57,0.5991548299789429
Simvastatin (Zocor),32,0.6022170782089233
Ramipril (Altace),30,0.6027395725250244
"Fenofibrate (Tricor, Trilipix)",25,0.6122150421142578
Ranolazine (Ranexa),31,0.5909238457679749
Ranitidine Hydrochloride,22,0.7321699857711792
Acipimox ,11,0.6053479313850403
Acyclovir (Aciclovir),16,0.5911720991134644
Nifedipine (Adalat),25,0.6104971170425415
Amiloride HCl,16,0.7349424958229065
Baricitinib (LY3009104),26,0.6333903670310974
Amlodipine besylate (Norvasc),38,0.6563948392868042
Chloroxine,13,0.6231881380081177
Lomustine (CeeNU),15,0.6298649311065674
Chenodeoxycholic acid,33,0.6059445142745972
Cimetidine (Tagamet),17,0.5956606864929199
Clemastine Fumarate,32,0.61531001329422
Daidzein,19,0.585891604423523
Methylthiouracil,9,0.6138080358505249
Isoniazid (Tubizid),10,0.5954487919807434
Levofloxacin (Levaquin),27,0.6037172675132751
Enalapril maleate (Vasotec),35,0.6063610315322876
Menadione,13,0.5795879364013672
Metformin hydrochloride (Glucophage),10,0.7379001379013062
Methoxsalen (Oxsoralen),16,0.5969422459602356
Miconazole nitrate,29,0.6532807350158691
Primidone (Mysoline),16,0.59065181016922
Nefiracetam (Translon),18,0.5889052152633667
Nicorandil (Ikorel),15,0.6298787593841553
Tamoxifen Citrate (Nolvadex),41,0.6071564555168152
Methscopolamine (Pamine),28,1.4271334409713745
Propylthiouracil,11,0.6120929718017578
Elvitegravir (GS-9137),31,0.618330717086792
Maraviroc,37,0.6033858060836792
Raltegravir (MK-0518),32,0.5972395539283752
Pyrimethamine,17,0.6141481399536133
Sulindac (Clinoril),25,0.6237199902534485
Silibinin (Silybin),35,0.5937696695327759
Silymarin (Silybin B),35,0.5937697291374207
Sinomenine (Cucoline),25,0.5884079337120056
Synephrine (Oxedrine),12,0.5846320390701294
Tanshinone I,21,0.5863630771636963
Tanshinone IIA (Tanshinone B),22,0.5902277231216431
Troxerutin,52,0.5992863774299622
Ursolic acid (Malol),36,0.599112331867218
Yohimbine hydrochloride (Antagonil),30,0.769822895526886
5-hydroxytryptophan (5-HTP),16,0.6038007140159607
Aloin (Barbaloin),32,0.6012753248214722
Ammonium Glycyrrhizinate (AMGZ),64,0.6135346293449402
Butylscopolamine bromide (Scopolamine butylb,31,1.435905933380127
Dioscin (Collettiside III),69,0.6062133312225342
Diosmetin (Luteolin 4-methyl ether),22,0.5888858437538147
D-Mannitol (Osmitrol),12,0.598642110824585
Gastrodin (Gastrodine),20,0.6012027263641357
Hematoxylin (Hydroxybrazilin),23,0.5945650339126587
Indirubin,20,0.5869531035423279
Lappaconite Hydrobromide,46,1.3160927295684814
L-carnitine (Levocarnitine),11,0.6157792806625366
Naringin Dihydrochalcone (Naringin DC),42,0.610568106174469
Polydatin(Piceid),28,0.6004831790924072
Metoprolol tartrate,48,0.6102007627487183
Nimesulide,21,0.6555666923522949
Noradrenaline bitartrate monohydrate (Levoph,26,0.6483892202377319
Orphenadrine citrate (Norflex),33,0.6083425283432007
Oxytetracycline dihydrate,37,0.6234800815582275
Pioglitazone hydrochloride (Actos),26,0.7224172949790955
Pramiracetam,19,0.5905386805534363
Tioconazole,23,0.6430649757385254
Valaciclovir HCl,24,0.729392409324646
Enoxacin (Penetrex),23,0.6011709570884705
Avobenzone (Parsol 1789),23,0.588549017906189
Lapatinib,40,0.6436449885368347
PA-824,25,0.6423327326774597
Amiodarone HCl,32,0.8082187175750732
Pefloxacin mesylate,29,0.6695684194564819
Canagliflozin,31,0.5983268022537231
MK-2048,32,0.6152321100234985
Laquinimod (ABR-215062),25,0.6110977530479431
"Tofacitinib (CP-690550, Tasocitinib)",23,0.5872277021408081
Istradefylline (KW-6002),28,0.5935319662094116
Torcetrapib (CP-529414),41,0.6235347986221313
Ciclopirox ethanolamine,19,0.595557689666748
Rimonabant (SR141716),30,0.6174339056015015
Cabazitaxel (Jevtana),62,0.6082199215888977
Bufexamac,16,0.603348433971405
Lamotrigine,16,0.632946252822876
Lonafarnib (SCH66336),36,0.7020931243896484
Synephrine HCl,13,0.7297965288162231
Aminoglutethimide (Cytadren),17,0.5919277667999268
Verteporfin (Visudyne),53,0.6018558740615845
Atazanavir sulfate,56,0.6778826713562012
Dabrafenib (GSK2118436),35,0.6394937038421631
Alpelisib (BYL719),30,0.6209672093391418
Vildagliptin (LAF-237),22,0.5935921669006348
Pravastatin sodium,32,0.6714295148849487
Daunorubicin HCl (Daunomycin HCl),40,0.7328372001647949
Quercetin (Sophoretin),22,0.593747615814209
Sorbitol (Glucitol),12,0.598642110824585
Salidroside (Rhodioloside),21,0.6016267538070679
Palmatine chloride,27,0.7344112396240234
Pramipexole dihydrochloride monohydrate ,17,0.7348102331161499
Chlormezanone (Trancopal),17,0.6395519971847534
Candesartan cilexetil (Atacand),45,0.6079458594322205
Dextrose (D-glucose),12,0.598642110824585
Xylose,10,0.5988380908966064
Mestranol,26,0.590977668762207
Naftopidil (Flivas),29,0.5912723541259766
S-(+)-Rolipram,20,0.5897379517555237
Atropine sulfate monohydrate,52,0.6840469837188721
Roflumilast (Daxas),26,0.6290169954299927
E7080 (Lenvatinib),30,0.6173677444458008
Biotin (Vitamin B7),18,0.6054849028587341
Dexamethasone acetate,33,0.6011077761650085
Ethynodiol diacetate,32,0.5993927121162415
Atomoxetine HCl,20,0.720257580280304
Moguisteine,23,0.6018915772438049
Nadifloxacin,26,0.6009990572929382
Amitriptyline HCl ,22,0.7199300527572632
"LDE225 (NVP-LDE225, Erismodegib)",35,0.6293771266937256
BIBR-1048 (Dabigatran),46,0.6014803647994995
Tebipenem pivoxil (L-084),35,0.6079506874084473
Daphnetin,13,0.5979619026184082
Cyclophosphamide monohydrate,15,0.6586141586303711
Ixazomib (MLN2238),23,0.6225482821464539
Desloratadine ,22,0.6075510382652283
Ornidazole,14,0.6339148879051208
Oxybutynin chloride,27,0.7214340567588806
Ixazomib Citrate (MLN9708),34,0.6220321655273438
Ivermectin,68,0.6036138534545898
Sulfanilamide,11,0.6466901302337646
Formestane,25,0.5909099578857422
Irinotecan HCl Trihydrate (Campto),47,0.7237008810043335
(-)-Epigallocatechin gallate,33,0.5954136848449707
4-Methylumbelliferone (4-MU),13,0.5944942235946655
Aesculin (Esculin),24,0.601836085319519
Amygdalin,32,0.6025292873382568
Andrographolide,26,0.5987387895584106
Apigenin,20,0.5880944728851318
"Arbutin (Uva, p-Arbutin)",19,0.5994552373886108
Ipriflavone,21,0.5836334228515625
Asiatic acid,38,0.6007153987884521
Baicalein,20,0.5952281951904297
MPEP,15,0.5900571346282959
5-hydroxymethyl tolterodine (PNU 200577),25,0.5824329257011414
Baicalin,32,0.6110123991966248
Azithromycin,52,0.6008751392364502
Bergenin (Cuscutin),25,0.6021071076393127
Berberine chloride,26,0.7354053854942322
Caffeic acid,13,0.6060806512832642
Chlorogenic acid,25,0.6112891435623169
Cinchonidine,24,0.583946168422699
Amlodipine (Norvasc),28,0.6128997802734375
Cyclosporin A,85,0.5930745601654053
Cytisine,14,0.5861595869064331
Dihydroartemisinin (DHA),23,0.6086544990539551
DL-Carnitine hydrochloride,12,0.7424076795578003
Emodin,20,0.5865107774734497
Enoxolone (Glycyrrhetin),38,0.6019238233566284
10-Hydroxycamptothecin,27,0.5999389886856079
Formononetin (Formononetol),20,0.5860366821289062
Fumalic acid (Ferulic acid),14,0.6059110760688782
Glycyrrhizin (Glycyrrhizic Acid),61,0.6104307174682617
Gramine,13,0.5744590759277344
Rotundine,27,0.5880657434463501
Tolbutamide,18,0.6402906179428101
Hesperetin,22,0.5888858437538147
Hesperidin,43,0.5991216897964478
Honokiol,20,0.580112874507904
Hyodeoxycholic acid (HDCA),32,0.6030000448226929
Kaempferol,21,0.5932960510253906
Kinetin (6-Furfuryladenine),16,0.5836632251739502
L (+)-Rhamnose Monohydrate,12,0.6262065172195435
Luteolin,21,0.5903283357620239
Magnolol,20,0.5798895359039307
Matrine ((+)-Matrine),22,0.6098397970199585
Morin hydrate (Aurantica),23,0.6221967935562134
Nalidixic acid (NegGram),17,0.6021590828895569
Naringin (Naringoside),41,0.5991155505180359
Neohesperidin dihydrochalcone (Nhdc),43,0.6007491946220398
Oleanolic Acid (Caryophyllin),36,0.6012594103813171
Orotic acid (6-Carboxyuracil),11,0.604600727558136
Osthole (Osthol),18,0.596256673336029
Oxymatrine (Matrine N-oxide),23,0.6064435243606567
Paeonol (Peonol),12,0.5855153799057007
Parthenolide ((-)-Parthenolide),18,0.5947805047035217
Piperine (1-Piperoylpiperidine),21,0.5909621119499207
Puerarin (Kakonein),31,0.6004651784896851
Quercetin dihydrate (Sophoretin),24,0.6245076656341553
Rutaecarpine (Rutecarpine),22,0.5862054824829102
Rutin (Rutoside),43,0.5991806983947754
"Salicin (Salicoside, Salicine)",20,0.6008715629577637
Sclareol,22,0.5869948863983154
Sodium Danshensu,15,0.6484335064888
Amantadine hydrochloride (Symmetrel),12,0.7243314385414124
Amfebutamone (Bupropion) HCl,17,0.72672039270401
Benserazide HCl,19,0.7329341769218445
Bupivacaine hydrochloride (Marcain),22,0.721508264541626
Bethanechol chloride,12,0.7428557872772217
Chlorpromazine HCl,22,0.7247647047042847
Clonidine hydrochloride (Catapres),15,0.7366747856140137
Clozapine (Clozaril),23,0.6111842393875122
Dehydroepiandrosterone (DHEA),24,0.5864784717559814
Domperidone (Motilium),30,0.6155087351799011
Estriol,24,0.589560866355896
Famciclovir (Famvir),23,0.5983195900917053
Fenbendazole (Panacur),21,0.608820915222168
Gallamine triethiodide (Flaxedil),39,1.783733606338501
Hexestrol (Bibenzyl),20,0.580351710319519
Imatinib (STI571) ,37,0.5854247808456421
Lincomycin hydrochloride (Lincocin),29,0.7334825992584229
Loperamide hydrochloride,35,0.723170816898346
Manidipine (Manyper),45,0.6079970598220825
PCI-32765 (Ibrutinib),33,0.5867427587509155
Manidipine dihydrochloride (CV-4093),47,0.7264747023582458
Milrinone (Primacor),16,0.5855149030685425
Mitoxantrone 2HCl,34,0.7299838066101074
Moroxydine HCl,13,0.735619843006134
Mycophenolic acid,23,0.6045608520507812
Nateglinide (Starlix),23,0.601760983467102
Nitrendipine,26,0.6106991767883301
Novobiocin sodium (Albamycin),45,0.6400968432426453
Olanzapine (Zyprexa),22,0.5905489921569824
Olopatadine hydrochloride (Opatanol),26,0.7246361970901489
Ozagrel,17,0.6047502160072327
Pancuronium dibromide,47,1.3259732723236084
Quinine hydrochloride dihydrate,29,0.7310525178909302
Racecadotril (Acetorphan),27,0.6125058531761169
