name,num_atoms,pred_energy
Milnacipran HCl,19,0.8258577585220337
Darifenacin HBr,33,3.220339059829712
2-Thiouracil,8,0.6197606325149536
Febuxostat (Uloric),22,0.6235691905021667
Dapagliflozin,28,0.6504981517791748
Pimobendan (Vetmedin),25,0.612424373626709
Amphotericin B,67,0.6111409664154053
Azelastine hydrochloride (Astelin),28,0.8215453624725342
"Clarithromycin (Biaxin, Klacid)",52,0.6103237867355347
Ampicillin sodium,26,0.7096575498580933
VX-809 (Lumacaftor),33,0.6537280678749084
Pomalidomide,20,0.6059860587120056
Tazarotene (Avage),25,0.6267610192298889
Fasudil HCl (HA-1077),21,0.8237698078155518
Candesartan (Atacand),33,0.6265683174133301
Altrenogest,25,0.6265875101089478
Apixaban,34,0.614463210105896
Reserpine,47,0.6167656183242798
Furosemide (Lasix),21,0.6744693517684937
Cefdinir (Omnicef),28,0.6227062940597534
Clotrimazole (Canesten),25,0.6749086380004883
Rizatriptan Benzoate (Maxalt),29,0.6275915503501892
Pyridostigmine Bromide (Mestinon),14,2.650970697402954
"Methimazole (Tapazole, Northyx)",7,0.6242101788520813
Metolazone (Zaroxolyn),24,0.6884967088699341
Mifepristone (Mifeprex),34,0.6243457794189453
Riluzole (Rilutek),15,0.6536591649055481
Artemether,24,0.625791609287262
Sulfameter (Bayrena),19,0.6628440618515015
Prilocaine,16,0.6093862056732178
Prednisone (Adasone),29,0.6335798501968384
Acetylcysteine,11,0.6174600720405579
Ethinyl Estradiol,25,0.6504839658737183
Naproxen Sodium,18,0.7251499891281128
"Nitazoxanide (Alinia, Annita)",21,0.6317735910415649
Triamcinolone Acetonide,33,0.6278362274169922
"Orlistat (Alli, Xenical)",35,0.6124724745750427
Allopurinol (Zyloprim),10,0.5952576994895935
Allopurinol Sodium (Aloprim),11,0.7100092768669128
Zafirlukast (Accolate),41,0.6774882078170776
Ibuprofen (Advil),15,0.6224489808082581
Albendazole (Albenza),18,0.6169773936271667
Chlorothiazide,17,0.6628915071487427
Ursodiol (Actigal Urso),33,0.6426085233688354
Nitrofurazone (Nitrofural),14,0.6130613088607788
Ketoprofen (Actron),19,0.6192553043365479
Adenosine (Adenocard),19,0.5974812507629395
Artemisinin,23,0.6272444128990173
Artesunate,30,0.6272605657577515
Zolmitriptan (Zomig),21,0.6255504488945007
"Telbivudine (Sebivo, Tyzeka)",17,0.5984365940093994
Monobenzone (Benoquin),15,0.6064095497131348
All-trans Retinoic Acid (Tretinoin),22,0.6333128809928894
"Phenylbutazone (Butazolidin, Butatron)",23,0.6057749390602112
Ezetimibe (Zetia),30,0.6156591773033142
Dofetilide (Tikosyn),29,0.6916466355323792
Isradipine (Dynacirc),27,0.6118155717849731
Estrone,23,0.6622717380523682
Flucytosine (Ancobon),9,0.5928568840026855
Loteprednol etabonate,35,0.6848317980766296
Pregnenolone,26,0.6588425636291504
Aminophylline (Truphylline),30,0.5951537489891052
Amorolfine Hydrochloride,24,0.8323463201522827
Chloramphenicol (Chloromycetin),20,0.7154812812805176
Disulfiram (Antabuse),16,0.6723392605781555
Mesalamine (Lialda),11,0.6058463454246521
Ipratropium bromide,25,3.0016705989837646
Betamethasone Dipropionate (Diprolene),38,0.6260977983474731
Betapar (Meprednisone),30,0.6334586143493652
Betamethasone valerate (Betnovate),36,0.6252975463867188
Praziquantel (Biltricide),23,0.6141389608383179
"Busulfan (Myleran, Busulfex)",14,0.6660987138748169
Gemcitabine (Gemzar),18,0.6238458156585693
Carbamazepine (Carbatrol),18,0.6246097087860107
Hydrocortisone (Cortisol),29,0.6335798501968384
Desonide,34,0.6340162754058838
Didanosine (Videx),17,0.6003130674362183
Divalproex sodium,21,0.7158281803131104
Progesterone (Prometrium),26,0.6588425040245056
Lamivudine (Epivir),15,0.6155440807342529
Estradiol,23,0.6622717380523682
Deferasirox (Exjade),28,0.6212379932403564
Piroxicam (Feldene),23,0.6673189401626587
Glipizide (Glucotrol),31,0.6754662990570068
Glyburide (Glibenclamide),33,0.6741271615028381
"Adefovir Dipivoxil (Preveon, Hepsera)",34,0.6639430522918701
Zalcitabine,15,0.5980232954025269
"Azathioprine (Azasan, Imuran)",19,0.6139248609542847
"Indomethacin (Indocid, Indocin)",25,0.6519732475280762
Levonorgestrel (Levonelle),27,0.6767877340316772
Gemfibrozil (Lopid),18,0.623468279838562
Indapamide (Lozol),24,0.687574028968811
Methylprednisolone,30,0.6334729790687561
Meloxicam (Mobic),23,0.6557398438453674
"Mesna (Uromitexan, Mesnex)",8,0.6360690593719482
Methocarbamol (Robaxin),17,0.6116129159927368
Telmisartan (Micardis),39,0.6244901418685913
Thiabendazole,14,0.642582893371582
Guaifenesin (Guaiphenesin),14,0.6064842343330383
Nevirapine (Viramune),20,0.6102169752120972
Nimodipine (Nimotop),30,0.6195383071899414
Oxybutynin (Ditropan),26,0.618240237236023
Pitavastatin calcium (Livalo),63,1.305120825767517
Pyrazinamide (Pyrazinoic acid amide),9,0.6013466119766235
Quetiapine fumarate (Seroquel),62,0.6269562244415283
Cefditoren pivoxil,42,0.61408931016922
Sulfadiazine,17,0.6664206981658936
Chlorprothixene,21,0.6528767347335815
Oxytetracycline (Terramycin),35,0.6118850708007812
Thioguanine,11,0.6305302381515503
Thiotepa (Thioplex),11,0.6578996181488037
Ethionamide,11,0.6486378312110901
Trifluridine (Viroptic),20,0.6353161334991455
Azacitidine (Vidaza),17,0.5883756875991821
Vidarabine (Vira-A),19,0.5974812507629395
Teniposide (Vumon),47,0.6226603984832764
Rifaximin (Xifaxan),57,0.6180368065834045
Simvastatin (Zocor),32,0.627419114112854
Ramipril (Altace),30,0.618314266204834
"Fenofibrate (Tricor, Trilipix)",25,0.6464332342147827
Ranolazine (Ranexa),31,0.6093152761459351
Ranitidine Hydrochloride,22,0.7985086441040039
Acipimox ,11,0.6058186292648315
Acyclovir (Aciclovir),16,0.5955005884170532
Nifedipine (Adalat),25,0.6170874238014221
Amiloride HCl,16,0.7931264042854309
Baricitinib (LY3009104),26,0.6818833947181702
Amlodipine besylate (Norvasc),38,0.6848375201225281
Chloroxine,13,0.6424791812896729
Lomustine (CeeNU),15,0.660550594329834
Chenodeoxycholic acid,33,0.6426085233688354
Cimetidine (Tagamet),17,0.6235021352767944
Clemastine Fumarate,32,0.6512377262115479
Daidzein,19,0.6038477420806885
Methylthiouracil,9,0.6327197551727295
Isoniazid (Tubizid),10,0.6057047247886658
Levofloxacin (Levaquin),27,0.618408739566803
Enalapril maleate (Vasotec),35,0.6144031286239624
Menadione,13,0.6012250185012817
Metformin hydrochloride (Glucophage),10,0.805060625076294
Methoxsalen (Oxsoralen),16,0.608898401260376
Miconazole nitrate,29,0.6454585194587708
Primidone (Mysoline),16,0.6149846315383911
Nefiracetam (Translon),18,0.6090846061706543
Nicorandil (Ikorel),15,0.6280863285064697
Tamoxifen Citrate (Nolvadex),41,0.6257553100585938
Methscopolamine (Pamine),28,3.399083375930786
Propylthiouracil,11,0.6387134194374084
Elvitegravir (GS-9137),31,0.656159520149231
Maraviroc,37,0.6427981853485107
Raltegravir (MK-0518),32,0.6145407557487488
Pyrimethamine,17,0.6574716567993164
Sulindac (Clinoril),25,0.6686142683029175
Silibinin (Silybin),35,0.603032648563385
Silymarin (Silybin B),35,0.6030325889587402
Sinomenine (Cucoline),25,0.6122264862060547
Synephrine (Oxedrine),12,0.5998867750167847
Tanshinone I,21,0.6112436652183533
Tanshinone IIA (Tanshinone B),22,0.6216163039207458
Troxerutin,52,0.6003390550613403
Ursolic acid (Malol),36,0.638857901096344
Yohimbine hydrochloride (Antagonil),30,1.120529055595398
5-hydroxytryptophan (5-HTP),16,0.618184506893158
Aloin (Barbaloin),32,0.6115659475326538
Ammonium Glycyrrhizinate (AMGZ),64,0.6346743106842041
Butylscopolamine bromide (Scopolamine butylb,31,3.4071857929229736
Dioscin (Collettiside III),69,0.6284470558166504
Diosmetin (Luteolin 4-methyl ether),22,0.6005479097366333
D-Mannitol (Osmitrol),12,0.5667365789413452
Gastrodin (Gastrodine),20,0.6007710099220276
Hematoxylin (Hydroxybrazilin),23,0.6106587052345276
Indirubin,20,0.6112968921661377
Lappaconite Hydrobromide,46,3.470036506652832
L-carnitine (Levocarnitine),11,0.6176480054855347
Naringin Dihydrochalcone (Naringin DC),42,0.5942345857620239
Polydatin(Piceid),28,0.6121978163719177
Metoprolol tartrate,48,0.6181644797325134
Nimesulide,21,0.6885871887207031
Noradrenaline bitartrate monohydrate (Levoph,26,0.6223680973052979
Orphenadrine citrate (Norflex),33,0.6217478513717651
Oxytetracycline dihydrate,37,0.6325088739395142
Pioglitazone hydrochloride (Actos),26,0.8131259679794312
Pramiracetam,19,0.6065984964370728
Tioconazole,23,0.6701557636260986
Valaciclovir HCl,24,0.8131803274154663
Enoxacin (Penetrex),23,0.6133140325546265
Avobenzone (Parsol 1789),23,0.6197112798690796
Lapatinib,40,0.6965597867965698
PA-824,25,0.6641808152198792
Amiodarone HCl,32,0.8811255693435669
Pefloxacin mesylate,29,0.7081779837608337
Canagliflozin,31,0.6201602816581726
MK-2048,32,0.6550260782241821
Laquinimod (ABR-215062),25,0.6511620283126831
"Tofacitinib (CP-690550, Tasocitinib)",23,0.6098299026489258
Istradefylline (KW-6002),28,0.6053425073623657
Torcetrapib (CP-529414),41,0.6552000045776367
Ciclopirox ethanolamine,19,0.6095869541168213
Rimonabant (SR141716),30,0.6537560224533081
Cabazitaxel (Jevtana),62,0.6252824068069458
Bufexamac,16,0.6136775016784668
Lamotrigine,16,0.6606229543685913
Lonafarnib (SCH66336),36,0.7610790729522705
Synephrine HCl,13,0.8111650943756104
Aminoglutethimide (Cytadren),17,0.6164960265159607
Verteporfin (Visudyne),53,0.6267976760864258
Atazanavir sulfate,56,0.7279279232025146
Dabrafenib (GSK2118436),35,0.6757807731628418
Alpelisib (BYL719),30,0.6469793319702148
Vildagliptin (LAF-237),22,0.6235626935958862
Pravastatin sodium,32,0.7269594669342041
Daunorubicin HCl (Daunomycin HCl),40,0.8437490463256836
Quercetin (Sophoretin),22,0.5999565124511719
Sorbitol (Glucitol),12,0.5667365789413452
Salidroside (Rhodioloside),21,0.6059107780456543
Palmatine chloride,27,0.8110575675964355
Pramipexole dihydrochloride monohydrate ,17,0.7986340522766113
Chlormezanone (Trancopal),17,0.6454452872276306
Candesartan cilexetil (Atacand),45,0.6264501810073853
Dextrose (D-glucose),12,0.5667365789413452
Xylose,10,0.566132128238678
Mestranol,26,0.6332333087921143
Naftopidil (Flivas),29,0.6155890226364136
S-(+)-Rolipram,20,0.6101995706558228
Atropine sulfate monohydrate,52,0.7315348386764526
Roflumilast (Daxas),26,0.6556956768035889
E7080 (Lenvatinib),30,0.6530853509902954
Biotin (Vitamin B7),18,0.6172692775726318
Dexamethasone acetate,33,0.6296823024749756
Ethynodiol diacetate,32,0.6396199464797974
Atomoxetine HCl,20,0.8255088329315186
Moguisteine,23,0.6167640089988708
Nadifloxacin,26,0.618438184261322
Amitriptyline HCl ,22,0.8643307685852051
"LDE225 (NVP-LDE225, Erismodegib)",35,0.6719306707382202
BIBR-1048 (Dabigatran),46,0.6156959533691406
Tebipenem pivoxil (L-084),35,0.6244651675224304
Daphnetin,13,0.604350209236145
Cyclophosphamide monohydrate,15,0.6211859583854675
Ixazomib (MLN2238),23,0.6392461061477661
Desloratadine ,22,0.6768301725387573
Ornidazole,14,0.6481239199638367
Oxybutynin chloride,27,0.8191149234771729
Ixazomib Citrate (MLN9708),34,0.6424600481987
Ivermectin,68,0.6119024753570557
Sulfanilamide,11,0.673368513584137
Formestane,25,0.6293407678604126
Irinotecan HCl Trihydrate (Campto),47,0.8242583274841309
(-)-Epigallocatechin gallate,33,0.5967882871627808
4-Methylumbelliferone (4-MU),13,0.6080201268196106
Aesculin (Esculin),24,0.6006267070770264
Amygdalin,32,0.6052341461181641
Andrographolide,26,0.6223323345184326
Apigenin,20,0.6016130447387695
"Arbutin (Uva, p-Arbutin)",19,0.5955215692520142
